recv_ts,client_ip,client_ts,cpu_pct,mem_pct,proc_count,net_bps
2026-08-16 13:58:13,127.0.0.1,2026-08-16 13:58:13,0.12,7.45,33,0
2026-08-16 13:58:18,127.0.0.1,2026-08-16 13:58:18,0.03,7.45,33,0
2026-08-16 13:58:23,127.0.0.1,2026-08-16 13:58:23,0.07,7.45,33,0
2026-08-16 13:58:28,127.0.0.1,2026-08-16 13:58:28,0.03,7.45,33,0
2026-08-16 13:58:33,127.0.0.1,2026-08-16 13:58:33,0.02,7.45,33,0
2026-08-16 13:58:38,127.0.0.1,2026-08-16 13:58:38,0.05,7.45,33,0
2026-08-16 13:58:43,127.0.0.1,2026-08-16 13:58:43,0.05,7.46,33,0
2026-08-16 13:58:48,127.0.0.1,2026-08-16 13:58:48,0.05,7.46,33,0
2026-08-16 13:58:53,127.0.0.1,2026-08-16 13:58:53,0.03,7.46,33,0
2026-08-16 13:58:58,127.0.0.1,2026-08-16 13:58:58,0.02,7.46,33,0
2026-08-16 13:59:03,127.0.0.1,2026-08-16 13:59:03,0.03,7.46,33,0
2026-08-16 13:59:08,127.0.0.1,2026-08-16 13:59:08,0.10,7.46,33,184
2026-08-16 13:59:13,127.0.0.1,2026-08-16 13:59:13,0.05,7.45,33,33
2026-08-16 13:59:18,127.0.0.1,2026-08-16 13:59:18,0.02,7.45,33,0
2026-08-16 13:59:23,127.0.0.1,2026-08-16 13:59:23,0.07,7.45,33,0
2026-08-16 13:59:28,127.0.0.1,2026-08-16 13:59:28,0.05,7.45,33,0
2026-08-16 13:59:33,127.0.0.1,2026-08-16 13:59:33,0.03,7.45,33,0
2026-08-16 13:59:38,127.0.0.1,2026-08-16 13:59:38,0.03,7.45,33,0
2026-08-16 13:59:43,127.0.0.1,2026-08-16 13:59:43,0.08,7.46,33,0
2026-08-16 13:59:48,127.0.0.1,2026-08-16 13:59:48,0.02,7.46,33,0
2026-08-16 13:59:53,127.0.0.1,2026-08-16 13:59:53,0.07,7.46,33,0
2026-08-16 13:59:58,127.0.0.1,2026-08-16 13:59:58,0.03,7.46,33,0
2026-08-16 14:00:03,127.0.0.1,2026-08-16 14:00:03,0.05,7.46,33,14
2026-08-16 14:00:08,127.0.0.1,2026-08-16 14:00:08,0.05,7.46,33,0
2026-08-16 14:00:13,127.0.0.1,2026-08-16 14:00:13,0.03,7.46,33,184
2026-08-16 14:00:18,127.0.0.1,2026-08-16 14:00:18,0.05,7.46,33,125
2026-08-16 14:00:23,127.0.0.1,2026-08-16 14:00:23,0.02,7.46,33,0
2026-08-16 14:00:28,127.0.0.1,2026-08-16 14:00:28,0.10,7.46,33,0
2026-08-16 14:00:33,127.0.0.1,2026-08-16 14:00:33,0.02,7.46,33,0
2026-08-16 14:00:38,127.0.0.1,2026-08-16 14:00:38,0.30,7.58,42,0
2026-08-16 14:00:43,127.0.0.1,2026-08-16 14:00:43,0.12,7.56,37,0
2026-08-16 14:00:48,127.0.0.1,2026-08-16 14:00:48,3.35,7.55,36,4085
2026-08-16 14:00:53,127.0.0.1,2026-08-16 14:00:53,0.67,7.58,39,16
2026-08-16 14:00:58,127.0.0.1,2026-08-16 14:00:58,16.82,7.58,39,0
2026-08-16 14:01:03,127.0.0.1,2026-08-16 14:01:03,16.78,7.58,39,0
2026-08-16 14:01:08,127.0.0.1,2026-08-16 14:01:08,16.79,7.58,39,0
2026-08-16 14:01:13,127.0.0.1,2026-08-16 14:01:13,16.72,7.58,39,0
2026-08-16 14:01:18,127.0.0.1,2026-08-16 14:01:18,16.75,7.58,39,138
2026-08-16 14:01:23,127.0.0.1,2026-08-16 14:01:23,16.19,7.58,36,0
2026-08-16 14:01:28,127.0.0.1,2026-08-16 14:01:28,0.03,7.58,36,0
2026-08-16 14:01:33,127.0.0.1,2026-08-16 14:01:33,0.02,7.58,36,0
2026-08-16 14:01:38,127.0.0.1,2026-08-16 14:01:38,0.12,7.58,36,0
2026-08-16 14:01:43,127.0.0.1,2026-08-16 14:01:43,0.25,7.56,36,0
2026-08-16 14:01:48,127.0.0.1,2026-08-16 14:01:48,0.07,7.56,36,0
